==============================================================================
  Time (s)    DT (s)  CV  NIT Max Residual    Fluid      Elapsed      Left    
      0.0684  0.64E-03  C  23 P0=0.70E-03     0.15s      12.95s       1.06h   
      0.0691  0.64E-03  C  20 P0=0.71E-03     0.13s      13.08s       1.06h   
      0.0698  0.71E-03  C  14 P0=0.53E-03     0.09s      13.17s       1.06h   
      0.0703  0.64E-03  C  16 P0=0.53E-03     0.20s      13.38s       1.06h   
      0.0710  0.64E-03  C  35 P0=0.71E-03     0.22s      13.59s       1.07h   
      0.0716  0.57E-03  C  16 P0=0.54E-03     0.29s      13.88s       1.08h   
      0.0721  0.57E-03  C  14 P0=0.41E-03     0.10s      13.98s       1.08h   
      0.0727  0.57E-03  C  12 V1=0.49E-03     0.08s      14.06s       1.08h   
      0.0733  0.57E-03  C  12 V1=0.48E-03     0.08s      14.15s       1.08h   
      0.0739  0.57E-03  C  13 P0=0.37E-03     0.09s      14.24s       1.08h   
      0.0745  0.64E-03  C  25 P0=0.73E-03     0.16s      14.40s       1.08h   
      0.0750  0.57E-03  C  16 P0=0.60E-03     0.21s      14.60s       1.09h   
      0.0756  0.57E-03  C  12 V1=0.44E-03     0.08s      14.69s       1.08h   
      0.0761  0.57E-03  C  12 V1=0.42E-03     0.09s      14.77s       1.08h   
      0.0767  0.57E-03  C  13 V1=0.25E-03     0.09s      14.87s       1.08h   
      0.0773  0.57E-03  C  33 P0=0.75E-03     0.21s      15.08s       1.09h   
      0.0779  0.64E-03  C  14 P0=0.54E-03     0.10s      15.18s       1.09h   
      0.0785  0.64E-03  C  15 P0=0.58E-03     0.10s      15.28s       1.09h   
      0.0791  0.64E-03  C  13 P0=0.39E-03     0.09s      15.37s       1.08h   
      0.0797  0.57E-03  C  13 P0=0.44E-03     0.19s      15.56s       1.09h   
      0.0803  0.57E-03  C  17 P0=0.68E-03     0.11s      15.68s       1.09h   
      0.0809  0.57E-03  C  12 P0=0.24E-03     0.09s      15.76s       1.09h   
      0.0814  0.57E-03  C  11 V1=0.35E-03     0.08s      15.84s       1.08h   
      0.0820  0.57E-03  C  11 P0=0.38E-03     0.08s      15.92s       1.08h   
      0.0826  0.64E-03  C  12 P0=0.31E-03     0.09s      16.01s       1.08h   
      0.0832  0.57E-03  C  15 P0=0.67E-03     0.20s      16.21s       1.09h   
      0.0837  0.57E-03  C  11 P0=0.34E-03     0.08s      16.29s       1.08h   
      0.0843  0.57E-03  C  11 P0=0.29E-03     0.08s      16.37s       1.08h   
      0.0849  0.57E-03  C  12 P0=0.20E-03     0.09s      16.46s       1.08h   
      0.0855  0.57E-03  C  12 P0=0.27E-03     0.09s      16.54s       1.08h   
      0.0861  0.64E-03  C  13 P0=0.64E-03     0.09s      16.63s       1.08h   
      0.0866  0.57E-03  C  11 P0=0.39E-03     0.24s      16.88s       1.09h   
      0.0872  0.57E-03  C  11 P0=0.34E-03     0.08s      16.96s       1.08h   
      0.0877  0.57E-03  C  11 P0=0.41E-03     0.08s      17.04s       1.08h   
      0.0883  0.57E-03  C  11 P0=0.48E-03     0.08s      17.12s       1.08h   
      0.0889  0.57E-03  C  15 P0=0.71E-03     0.10s      17.23s       1.08h   
      0.0895  0.64E-03  C  12 P0=0.30E-03     0.09s      17.31s       1.08h   
      0.0901  0.64E-03  C  12 P0=0.50E-03     0.08s      17.40s       1.08h   
      0.0907  0.64E-03  C  12 P0=0.27E-03     0.09s      17.48s       1.07h   
      0.0913  0.57E-03  C  12 P0=0.34E-03     0.25s      17.74s       1.08h   
      0.0919  0.57E-03  C  12 P0=0.34E-03     0.11s      17.85s       1.08h   
      0.0925  0.57E-03  C  11 P0=0.34E-03     0.08s      17.93s       1.08h   
      0.0930  0.57E-03  C  11 P0=0.34E-03     0.08s      18.01s       1.08h   
      0.0936  0.57E-03  C  11 P0=0.33E-03     0.08s      18.09s       1.07h   
      0.0942  0.64E-03  C  12 V1=0.21E-03     0.08s      18.17s       1.07h   
      0.0948  0.57E-03  C  19 U1=0.35E-03     0.26s      18.43s       1.08h   
      0.0953  0.52E-03  C  31 V1=0.41E-03     0.34s      18.76s       1.09h   
      0.0958  0.52E-03  C  15 V1=0.34E-03     0.12s      18.88s       1.10h   
      0.0963  0.52E-03  C  12 V1=0.67E-03     0.09s      18.97s       1.09h   
      0.0968  0.52E-03  C  12 V1=0.33E-03     0.10s      19.06s       1.09h   
      0.0973  0.52E-03  C  11 P0=0.38E-03     0.08s      19.14s       1.09h   
      0.0979  0.57E-03  C  11 P0=0.38E-03     0.09s      19.23s       1.09h   
      0.0984  0.57E-03  C  13 P0=0.46E-03     0.09s      19.32s       1.09h   
      0.0990  0.57E-03  C  12 P0=0.33E-03     0.10s      19.42s       1.09h   
      0.0996  0.57E-03  C  11 P0=0.38E-03     0.08s      19.50s       1.09h   
      0.1001  0.57E-03  C  11 P0=0.38E-03     0.08s      19.58s       1.09h   
      0.1007  0.57E-03  C  11 P0=0.41E-03     0.08s      19.66s       1.09h   
      0.1014  0.64E-03  C  11 P0=0.48E-03     0.09s      19.75s       1.08h   
      0.1019  0.64E-03  C  22 P0=0.71E-03     0.14s      19.89s       1.09h   
      0.1026  0.64E-03  C  15 P0=0.74E-03     0.10s      20.00s       1.08h   
      0.1032  0.64E-03  C  12 P0=0.62E-03     0.10s      20.10s       1.08h   
      0.1038  0.64E-03  C  11 P0=0.51E-03     0.08s      20.18s       1.08h   
      0.1045  0.64E-03  C  11 P0=0.57E-03     0.08s      20.25s       1.08h   
      0.1051  0.57E-03  C  16 P0=0.58E-03     0.12s      20.38s       1.08h   
      0.1057  0.57E-03  C  11 P0=0.48E-03     0.08s      20.45s       1.08h   
      0.1063  0.57E-03  C  11 P0=0.41E-03     0.08s      20.53s       1.07h   
      0.1068  0.57E-03  C  11 P0=0.39E-03     0.08s      20.61s       1.07h   
      0.1074  0.57E-03  C  11 P0=0.34E-03     0.08s      20.69s       1.07h   
      0.1080  0.57E-03  C  11 P0=0.38E-03     0.08s      20.76s       1.07h   
      0.1085  0.52E-03  C  11 P0=0.41E-03     0.08s      20.84s       1.07h   
      0.1091  0.52E-03  C  11 P0=0.37E-03     0.08s      20.92s       1.06h   
      0.1096  0.52E-03  C  11 P0=0.36E-03     0.08s      20.99s       1.06h   
      0.1101  0.52E-03  C  11 P0=0.33E-03     0.08s      21.07s       1.06h   
      0.1106  0.52E-03  C  11 P0=0.33E-03     0.08s      21.15s       1.06h   
      0.1111  0.52E-03  C  11 P0=0.32E-03     0.08s      21.23s       1.06h   
      0.1117  0.57E-03  C  11 P0=0.33E-03     0.08s      21.31s       1.06h   
      0.1122  0.57E-03  C  11 P0=0.39E-03     0.08s      21.38s       1.06h   
      0.1128  0.57E-03  C  11 P0=0.41E-03     0.08s      21.46s       1.06h   
      0.1134  0.57E-03  C  11 P0=0.41E-03     0.08s      21.54s       1.05h   
      0.1140  0.57E-03  C  11 P0=0.40E-03     0.09s      21.62s       1.05h   
      0.1145  0.57E-03  C  11 P0=0.36E-03     0.08s      21.71s       1.05h   
      0.1152  0.64E-03  C  16 V1=0.59E-03     0.11s      21.82s       1.05h   
      0.1157  0.57E-03  C  39 V1=0.48E-03     0.37s      22.19s       1.06h   
      0.1162  0.57E-03  C  17 V1=0.38E-03     0.12s      22.31s       1.07h   
      0.1168  0.57E-03  C  14 V1=0.67E-03     0.14s      22.45s       1.07h   
      0.1174  0.57E-03  C  13 V1=0.47E-03     0.14s      22.58s       1.07h   
      0.1180  0.57E-03  C  12 V1=0.43E-03     0.13s      22.71s       1.07h   
      0.1186  0.64E-03  C  12 V1=0.28E-03     0.09s      22.80s       1.07h   
      0.1192  0.64E-03  C  14 P0=0.54E-03     0.15s      22.95s       1.07h   
      0.1198  0.64E-03  C  14 P0=0.58E-03     0.15s      23.10s       1.07h   
      0.1204  0.57E-03  C  11 P0=0.39E-03     0.25s      23.35s       1.08h   
      0.1210  0.57E-03  C  11 P0=0.34E-03     0.12s      23.47s       1.08h   
      0.1215  0.57E-03  C  11 P0=0.35E-03     0.12s      23.60s       1.08h   
      0.1221  0.57E-03  C  11 P0=0.34E-03     0.12s      23.72s       1.08h   
