==============================================================================
  Time (s)    DT (s)  CV  NIT Max Residual    Fluid      Elapsed      Left    
      8.3113  0.11E-02  C  14 P0=0.59E-03     0.19s       1.00h       1.41h   
      8.3124  0.11E-02  C  14 P0=0.60E-03     0.29s       1.00h       1.41h   
      8.3135  0.11E-02  C  14 P0=0.59E-03     0.14s       1.00h       1.41h   
      8.3147  0.12E-02  C  14 P0=0.59E-03     0.13s       1.00h       1.41h   
      8.3157  0.12E-02  C  15 P0=0.43E-03     0.13s       1.00h       1.41h   
      8.3169  0.12E-02  C  15 P0=0.52E-03     0.14s       1.00h       1.41h   
      8.3181  0.12E-02  C  15 P0=0.40E-03     0.13s       1.00h       1.41h   
      8.3192  0.11E-02  C  15 P0=0.39E-03     0.28s       1.00h       1.41h   
      8.3203  0.11E-02  C  14 P0=0.61E-03     0.12s       1.00h       1.41h   
      8.3214  0.11E-02  C  14 P0=0.60E-03     0.12s       1.00h       1.41h   
      8.3224  0.11E-02  C  14 P0=0.59E-03     0.12s       1.00h       1.41h   
      8.3235  0.11E-02  C  14 P0=0.59E-03     0.12s       1.00h       1.41h   
      8.3247  0.12E-02  C  14 P0=0.59E-03     0.12s       1.00h       1.41h   
      8.3258  0.12E-02  C  15 P0=0.41E-03     0.13s       1.00h       1.41h   
      8.3270  0.12E-02  C  15 P0=0.48E-03     0.13s       1.00h       1.41h   
      8.3281  0.11E-02  C  14 P0=0.62E-03     0.27s       1.00h       1.41h   
      8.3292  0.11E-02  C  15 P0=0.40E-03     0.14s       1.00h       1.41h   
      8.3302  0.11E-02  C  14 P0=0.61E-03     0.13s       1.00h       1.41h   
      8.3313  0.11E-02  C  14 P0=0.61E-03     0.12s       1.00h       1.41h   
      8.3324  0.11E-02  C  14 P0=0.60E-03     0.13s       1.00h       1.41h   
      8.3336  0.12E-02  C  14 P0=0.60E-03     0.13s       1.00h       1.41h   
      8.3347  0.12E-02  C  15 P0=0.48E-03     0.13s       1.00h       1.40h   
      8.3358  0.11E-02  C  15 P0=0.37E-03     0.27s       1.00h       1.40h   
      8.3368  0.11E-02  C  15 P0=0.39E-03     0.13s       1.00h       1.40h   
      8.3379  0.11E-02  C  14 P0=0.62E-03     0.12s       1.00h       1.40h   
      8.3390  0.11E-02  C  14 P0=0.61E-03     0.12s       1.00h       1.40h   
      8.3401  0.11E-02  C  14 P0=0.60E-03     0.12s       1.00h       1.40h   
      8.3413  0.12E-02  C  14 P0=0.60E-03     0.12s       1.00h       1.40h   
      8.3424  0.12E-02  C  15 P0=0.49E-03     0.13s       1.00h       1.40h   
      8.3434  0.11E-02  C  14 P0=0.62E-03     0.27s       1.00h       1.40h   
      8.3445  0.11E-02  C  15 P0=0.40E-03     0.13s       1.00h       1.40h   
      8.3456  0.11E-02  C  14 P0=0.62E-03     0.13s       1.00h       1.40h   
      8.3467  0.11E-02  C  14 P0=0.61E-03     0.14s       1.00h       1.40h   
      8.3478  0.11E-02  C  14 P0=0.60E-03     0.13s       1.00h       1.40h   
      8.3489  0.12E-02  C  14 P0=0.60E-03     0.12s       1.00h       1.40h   
      8.3500  0.12E-02  C  15 P0=0.52E-03     0.13s       1.00h       1.40h   
      8.3511  0.11E-02  C  14 P0=0.62E-03     0.27s       1.00h       1.40h   
      8.3522  0.11E-02  C  14 P0=0.64E-03     0.12s       1.00h       1.40h   
      8.3533  0.11E-02  C  14 P0=0.62E-03     0.12s       1.00h       1.40h   
      8.3543  0.11E-02  C  14 P0=0.61E-03     0.12s       1.00h       1.40h   
      8.3554  0.11E-02  C  14 P0=0.60E-03     0.12s       1.00h       1.40h   
      8.3566  0.12E-02  C  14 P0=0.60E-03     0.12s       1.00h       1.40h   
      8.3577  0.12E-02  C  15 P0=0.48E-03     0.13s       1.00h       1.40h   
      8.3589  0.12E-02  C  15 P0=0.53E-03     0.13s       1.00h       1.40h   
      8.3601  0.12E-02  C  17 P0=0.53E-03     0.14s       1.00h       1.40h   
      8.3612  0.11E-02  C  14 P0=0.63E-03     0.26s       1.00h       1.40h   
      8.3623  0.11E-02  C  14 P0=0.64E-03     0.12s       1.00h       1.40h   
      8.3633  0.11E-02  C  14 P0=0.61E-03     0.12s       1.00h       1.40h   
      8.3644  0.11E-02  C  14 P0=0.61E-03     0.12s       1.00h       1.40h   
      8.3655  0.11E-02  C  14 P0=0.59E-03     0.12s       1.00h       1.40h   
      8.3667  0.12E-02  C  14 P0=0.60E-03     0.12s       1.00h       1.40h   
      8.3678  0.12E-02  C  14 P0=0.66E-03     0.12s       1.00h       1.40h   
      8.3690  0.12E-02  C  14 P0=0.65E-03     0.12s       1.00h       1.40h   
      8.3702  0.12E-02  C  15 P0=0.39E-03     0.12s       1.00h       1.40h   
      8.3714  0.12E-02  C  14 P0=0.65E-03     0.12s       1.00h       1.40h   
      8.3726  0.12E-02  C  15 P0=0.39E-03     0.12s       1.00h       1.40h   
      8.3739  0.13E-02  C  14 P0=0.65E-03     0.12s       1.00h       1.40h   
      8.3750  0.12E-02  C  15 P0=0.40E-03     0.27s       1.01h       1.40h   
      8.3762  0.12E-02  C  15 P0=0.38E-03     0.12s       1.01h       1.40h   
      8.3774  0.12E-02  C  14 P0=0.64E-03     0.12s       1.01h       1.39h   
      8.3786  0.12E-02  C  15 P0=0.39E-03     0.12s       1.01h       1.39h   
      8.3798  0.12E-02  C  15 P0=0.38E-03     0.14s       1.01h       1.39h   
      8.3811  0.13E-02  C  15 P0=0.39E-03     0.13s       1.01h       1.39h   
      8.3822  0.12E-02  C  15 P0=0.38E-03     0.27s       1.01h       1.39h   
      8.3834  0.12E-02  C  15 P0=0.39E-03     0.13s       1.01h       1.39h   
      8.3846  0.12E-02  C  14 P0=0.64E-03     0.12s       1.01h       1.39h   
      8.3858  0.12E-02  C  15 P0=0.39E-03     0.12s       1.01h       1.39h   
      8.3870  0.12E-02  C  15 P0=0.39E-03     0.12s       1.01h       1.39h   
      8.3883  0.13E-02  C  15 P0=0.38E-03     0.13s       1.01h       1.39h   
      8.3894  0.12E-02  C  15 P0=0.42E-03     0.27s       1.01h       1.39h   
      8.3906  0.12E-02  C  14 P0=0.62E-03     0.12s       1.01h       1.39h   
      8.3918  0.12E-02  C  15 P0=0.44E-03     0.13s       1.01h       1.39h   
      8.3930  0.12E-02  C  14 P0=0.64E-03     0.12s       1.01h       1.39h   
      8.3942  0.12E-02  C  15 P0=0.56E-03     0.13s       1.01h       1.39h   
      8.3955  0.13E-02  C  15 P0=0.43E-03     0.13s       1.01h       1.39h   
      8.3964  0.11E-02  C  14 P0=0.60E-03     0.36s       1.01h       1.39h   
      8.3975  0.11E-02  C  14 P0=0.56E-03     0.12s       1.01h       1.39h   
      8.3986  0.11E-02  C  14 P0=0.56E-03     0.12s       1.01h       1.39h   
      8.3997  0.11E-02  C  14 P0=0.57E-03     0.12s       1.01h       1.39h   
      8.4008  0.11E-02  C  14 P0=0.58E-03     0.12s       1.01h       1.39h   
      8.4020  0.12E-02  C  14 P0=0.58E-03     0.12s       1.01h       1.39h   
      8.4030  0.12E-02  C  14 P0=0.63E-03     0.12s       1.01h       1.39h   
      8.4042  0.12E-02  C  15 P0=0.38E-03     0.12s       1.01h       1.39h   
      8.4054  0.12E-02  C  15 P0=0.40E-03     0.12s       1.01h       1.39h   
      8.4066  0.12E-02  C  15 P0=0.50E-03     0.12s       1.01h       1.39h   
      8.4078  0.12E-02  C  15 P0=0.41E-03     0.13s       1.01h       1.39h   
      8.4089  0.11E-02  C  14 P0=0.61E-03     0.25s       1.01h       1.39h   
      8.4100  0.11E-02  C  14 P0=0.59E-03     0.12s       1.01h       1.39h   
      8.4111  0.11E-02  C  14 P0=0.58E-03     0.12s       1.01h       1.39h   
      8.4122  0.11E-02  C  14 P0=0.58E-03     0.12s       1.01h       1.39h   
      8.4132  0.11E-02  C  14 P0=0.59E-03     0.12s       1.01h       1.39h   
      8.4144  0.12E-02  C  14 P0=0.58E-03     0.12s       1.01h       1.39h   
      8.4155  0.12E-02  C  14 P0=0.63E-03     0.12s       1.01h       1.39h   
      8.4167  0.12E-02  C  15 P0=0.40E-03     0.12s       1.01h       1.39h   
      8.4179  0.12E-02  C  15 P0=0.40E-03     0.13s       1.01h       1.39h   
      8.4191  0.12E-02  C  15 P0=0.50E-03     0.12s       1.01h       1.38h   
      8.4203  0.12E-02  C  15 P0=0.41E-03     0.12s       1.01h       1.38h   
      8.4214  0.11E-02  C  15 P0=0.36E-03     0.26s       1.01h       1.38h   
      8.4225  0.11E-02  C  15 P0=0.35E-03     0.12s       1.01h       1.38h   
      8.4235  0.11E-02  C  15 P0=0.36E-03     0.12s       1.01h       1.38h   
      8.4246  0.11E-02  C  14 P0=0.60E-03     0.12s       1.01h       1.38h   
      8.4257  0.11E-02  C  14 P0=0.59E-03     0.11s       1.01h       1.38h   
      8.4269  0.12E-02  C  14 P0=0.59E-03     0.12s       1.01h       1.38h   
      8.4280  0.12E-02  C  15 P0=0.38E-03     0.12s       1.01h       1.38h   
      8.4292  0.12E-02  C  15 P0=0.39E-03     0.12s       1.01h       1.38h   
      8.4304  0.12E-02  C  15 P0=0.39E-03     0.12s       1.01h       1.38h   
      8.4316  0.12E-02  C  15 P0=0.38E-03     0.12s       1.01h       1.38h   
      8.4328  0.12E-02  C  15 P0=0.39E-03     0.12s       1.01h       1.38h   
      8.4341  0.13E-02  C  15 P0=0.39E-03     0.13s       1.01h       1.38h   
      8.4353  0.13E-02  C  15 P0=0.43E-03     0.12s       1.01h       1.38h   
      8.4366  0.13E-02  C  15 P0=0.44E-03     0.12s       1.01h       1.38h   
      8.4380  0.13E-02  C  19 V1=0.29E-03     0.15s       1.01h       1.38h   
      8.4393  0.13E-02  C  16 P0=0.46E-03     0.13s       1.01h       1.38h   
      8.4405  0.12E-02  C  15 P0=0.39E-03     0.26s       1.01h       1.38h   
      8.4417  0.12E-02  C  15 P0=0.37E-03     0.13s       1.01h       1.38h   
      8.4429  0.12E-02  C  15 P0=0.38E-03     0.13s       1.01h       1.38h   
      8.4441  0.12E-02  C  15 P0=0.37E-03     0.12s       1.01h       1.38h   
      8.4453  0.12E-02  C  15 P0=0.38E-03     0.12s       1.01h       1.38h   
      8.4466  0.13E-02  C  15 P0=0.37E-03     0.13s       1.01h       1.38h   
      8.4478  0.13E-02  C  15 P0=0.42E-03     0.13s       1.01h       1.38h   
      8.4492  0.13E-02  C  15 P0=0.40E-03     0.13s       1.01h       1.38h   
      8.4505  0.13E-02  C  15 P0=0.43E-03     0.13s       1.01h       1.38h   
      8.4518  0.13E-02  C  15 P0=0.40E-03     0.13s       1.01h       1.38h   
      8.4532  0.13E-02  C  15 P0=0.42E-03     0.13s       1.01h       1.38h   
      8.4546  0.15E-02  C  15 P0=0.41E-03     0.12s       1.01h       1.38h   
      8.4560  0.15E-02  C  15 P0=0.47E-03     0.12s       1.01h       1.38h   
      8.4575  0.15E-02  C  16 P0=0.52E-03     0.14s       1.01h       1.38h   
      8.4588  0.13E-02  C  15 P0=0.43E-03     0.26s       1.01h       1.38h   
      8.4601  0.13E-02  C  15 P0=0.45E-03     0.12s       1.01h       1.37h   
      8.4615  0.13E-02  C  15 P0=0.43E-03     0.13s       1.01h       1.37h   
      8.4628  0.13E-02  C  15 P0=0.42E-03     0.12s       1.01h       1.37h   
      8.4641  0.13E-02  C  15 P0=0.41E-03     0.13s       1.01h       1.37h   
      8.4656  0.15E-02  C  15 P0=0.42E-03     0.12s       1.01h       1.37h   
      8.4669  0.15E-02  C  15 P0=0.47E-03     0.13s       1.01h       1.37h   
      8.4684  0.15E-02  C  15 P0=0.45E-03     0.12s       1.01h       1.37h   
      8.4699  0.15E-02  C  15 P0=0.50E-03     0.13s       1.01h       1.37h   
      8.4714  0.15E-02  C  15 P0=0.47E-03     0.12s       1.01h       1.37h   
      8.4729  0.15E-02  C  15 P0=0.51E-03     0.13s       1.01h       1.37h   
      8.4745  0.16E-02  C  15 P0=0.49E-03     0.12s       1.01h       1.37h   
      8.4758  0.15E-02  C  15 P0=0.48E-03     0.26s       1.01h       1.37h   
      8.4773  0.15E-02  C  15 P0=0.49E-03     0.13s       1.01h       1.37h   
      8.4788  0.15E-02  C  15 P0=0.45E-03     0.13s       1.01h       1.37h   
      8.4803  0.15E-02  C  15 P0=0.47E-03     0.13s       1.01h       1.37h   
      8.4817  0.15E-02  C  15 P0=0.45E-03     0.12s       1.01h       1.37h   
      8.4834  0.16E-02  C  20 V1=0.38E-03     0.16s       1.01h       1.37h   
      8.4847  0.15E-02  C  15 P0=0.45E-03     0.26s       1.01h       1.37h   
      8.4862  0.15E-02  C  15 P0=0.44E-03     0.12s       1.01h       1.37h   
      8.4877  0.15E-02  C  15 P0=0.44E-03     0.12s       1.01h       1.37h   
      8.4891  0.15E-02  C  15 P0=0.44E-03     0.12s       1.01h       1.37h   
      8.4906  0.15E-02  C  15 P0=0.44E-03     0.12s       1.01h       1.37h   
      8.4923  0.16E-02  C  15 P0=0.44E-03     0.12s       1.01h       1.37h   
      8.4937  0.16E-02  C  15 P0=0.47E-03     0.12s       1.01h       1.37h   
      8.4954  0.16E-02  C  15 P0=0.47E-03     0.12s       1.01h       1.37h   
      8.4970  0.16E-02  C  15 P0=0.48E-03     0.12s       1.01h       1.37h   
      8.4985  0.15E-02  C  41 V1=0.40E-03     0.32s       1.01h       1.37h   
      8.4999  0.13E-02  C  16 P0=0.30E-03     0.47s       1.01h       1.37h   
      8.5012  0.13E-02  C  15 P0=0.41E-03     0.12s       1.01h       1.37h   
      8.5025  0.13E-02  C  15 P0=0.45E-03     0.12s       1.01h       1.36h   
      8.5038  0.13E-02  C  15 P0=0.43E-03     0.12s       1.01h       1.36h   
      8.5052  0.13E-02  C  15 P0=0.42E-03     0.13s       1.01h       1.36h   
      8.5067  0.15E-02  C  15 P0=0.42E-03     0.13s       1.01h       1.36h   
      8.5080  0.15E-02  C  15 P0=0.44E-03     0.12s       1.01h       1.36h   
      8.5095  0.15E-02  C  15 P0=0.45E-03     0.13s       1.01h       1.36h   
      8.5110  0.15E-02  C  15 P0=0.44E-03     0.22s       1.01h       1.36h   
      8.5124  0.15E-02  C  15 P0=0.44E-03     0.13s       1.01h       1.36h   
      8.5139  0.15E-02  C  15 P0=0.44E-03     0.13s       1.01h       1.36h   
      8.5156  0.16E-02  C  15 P0=0.42E-03     0.13s       1.01h       1.36h   
      8.5169  0.15E-02  C  25 V1=0.42E-03     0.33s       1.01h       1.36h   
      8.5184  0.15E-02  C  15 P0=0.42E-03     0.13s       1.01h       1.36h   
      8.5198  0.15E-02  C  15 P0=0.43E-03     0.12s       1.01h       1.36h   
      8.5213  0.15E-02  C  15 P0=0.43E-03     0.12s       1.01h       1.36h   
      8.5228  0.15E-02  C  15 P0=0.43E-03     0.12s       1.01h       1.36h   
      8.5244  0.16E-02  C  15 P0=0.43E-03     0.12s       1.01h       1.36h   
      8.5259  0.16E-02  C  15 P0=0.45E-03     0.12s       1.01h       1.36h   
      8.5276  0.16E-02  C  15 P0=0.45E-03     0.12s       1.01h       1.36h   
      8.5292  0.16E-02  C  15 P0=0.45E-03     0.13s       1.01h       1.36h   
      8.5309  0.16E-02  C  15 P0=0.45E-03     0.13s       1.01h       1.36h   
      8.5325  0.16E-02  C  15 P0=0.45E-03     0.12s       1.01h       1.36h   
      8.5343  0.18E-02  C  15 P0=0.46E-03     0.13s       1.01h       1.36h   
      8.5360  0.18E-02  C  15 P0=0.48E-03     0.12s       1.01h       1.36h   
      8.5378  0.18E-02  C  15 P0=0.48E-03     0.13s       1.01h       1.36h   
      8.5396  0.18E-02  C  15 P0=0.48E-03     0.12s       1.01h       1.36h   
      8.5415  0.18E-02  C  15 P0=0.48E-03     0.12s       1.01h       1.36h   
      8.5433  0.18E-02  C  15 P0=0.48E-03     0.13s       1.01h       1.35h   
      8.5453  0.20E-02  C  15 P0=0.48E-03     0.13s       1.01h       1.35h   
      8.5471  0.20E-02  C  15 P0=0.58E-03     0.12s       1.01h       1.35h   
      8.5492  0.20E-02  C  16 P0=0.43E-03     0.13s       1.01h       1.35h   
      8.5510  0.18E-02  C  15 P0=0.51E-03     0.27s       1.01h       1.35h   
      8.5528  0.18E-02  C  15 P0=0.50E-03     0.13s       1.01h       1.35h   
      8.5547  0.18E-02  C  15 P0=0.49E-03     0.13s       1.01h       1.35h   
      8.5565  0.18E-02  C  15 P0=0.48E-03     0.13s       1.01h       1.35h   
      8.5583  0.18E-02  C  15 P0=0.50E-03     0.13s       1.01h       1.35h   
      8.5603  0.20E-02  C  15 P0=0.48E-03     0.13s       1.01h       1.35h   
      8.5620  0.18E-02  C  15 P0=0.48E-03     0.30s       1.01h       1.35h   
      8.5638  0.18E-02  C  15 P0=0.48E-03     0.13s       1.01h       1.35h   
      8.5656  0.18E-02  C  15 P0=0.49E-03     0.13s       1.01h       1.35h   
      8.5675  0.18E-02  C  15 P0=0.47E-03     0.13s       1.01h       1.35h   
      8.5693  0.18E-02  C  15 P0=0.47E-03     0.13s       1.01h       1.35h   
      8.5713  0.20E-02  C  15 P0=0.49E-03     0.13s       1.01h       1.35h   
      8.5729  0.18E-02  C  15 P0=0.50E-03     0.30s       1.01h       1.35h   
      8.5748  0.18E-02  C  15 P0=0.49E-03     0.13s       1.01h       1.35h   
      8.5766  0.18E-02  C  15 P0=0.47E-03     0.13s       1.01h       1.35h   
      8.5784  0.18E-02  C  15 P0=0.48E-03     0.13s       1.01h       1.35h   
      8.5803  0.18E-02  C  15 P0=0.48E-03     0.13s       1.01h       1.35h   
      8.5823  0.20E-02  C  15 P0=0.48E-03     0.13s       1.01h       1.35h   
      8.5841  0.20E-02  C  23 P0=0.31E-03     0.18s       1.01h       1.34h   
      8.5861  0.20E-02  C  16 P0=0.54E-03     0.13s       1.01h       1.34h   
      8.5880  0.18E-02  C  15 P0=0.50E-03     0.27s       1.01h       1.34h   
      8.5898  0.18E-02  C  15 P0=0.50E-03     0.13s       1.01h       1.34h   
      8.5916  0.18E-02  C  15 P0=0.47E-03     0.13s       1.01h       1.34h   
      8.5935  0.18E-02  C  15 P0=0.47E-03     0.13s       1.01h       1.34h   
      8.5953  0.18E-02  C  15 P0=0.48E-03     0.13s       1.01h       1.34h   
      8.5973  0.20E-02  C  15 P0=0.48E-03     0.13s       1.01h       1.34h   
      8.5991  0.20E-02  C  16 P0=0.43E-03     0.14s       1.01h       1.34h   
      8.6012  0.20E-02  C  16 P0=0.47E-03     0.14s       1.01h       1.34h   
      8.6030  0.18E-02  C  15 P0=0.48E-03     0.30s       1.01h       1.34h   
      8.6048  0.18E-02  C  15 P0=0.48E-03     0.13s       1.01h       1.34h   
      8.6067  0.18E-02  C  15 P0=0.49E-03     0.12s       1.01h       1.34h   
      8.6085  0.18E-02  C  15 P0=0.47E-03     0.13s       1.01h       1.34h   
      8.6103  0.18E-02  C  15 P0=0.49E-03     0.13s       1.01h       1.34h   
      8.6123  0.20E-02  C  15 P0=0.49E-03     0.13s       1.01h       1.34h   
      8.6140  0.18E-02  C  15 P0=0.50E-03     0.30s       1.01h       1.34h   
      8.6158  0.18E-02  C  15 P0=0.47E-03     0.13s       1.01h       1.34h   
      8.6176  0.18E-02  C  15 P0=0.48E-03     0.13s       1.01h       1.34h   
      8.6194  0.18E-02  C  15 P0=0.49E-03     0.13s       1.01h       1.34h   
      8.6213  0.18E-02  C  15 P0=0.49E-03     0.14s       1.01h       1.34h   
      8.6233  0.20E-02  C  15 P0=0.47E-03     0.13s       1.01h       1.34h   
      8.6249  0.18E-02  C  15 P0=0.48E-03     0.27s       1.01h       1.34h   
      8.6268  0.18E-02  C  15 P0=0.48E-03     0.13s       1.01h       1.33h   
      8.6286  0.18E-02  C  15 P0=0.47E-03     0.13s       1.01h       1.33h   
      8.6304  0.18E-02  C  15 P0=0.49E-03     0.13s       1.01h       1.33h   
      8.6322  0.18E-02  C  15 P0=0.49E-03     0.13s       1.01h       1.33h   
      8.6343  0.20E-02  C  15 P0=0.49E-03     0.13s       1.01h       1.33h   
      8.6359  0.18E-02  C  15 P0=0.50E-03     0.27s       1.01h       1.33h   
      8.6377  0.18E-02  C  15 P0=0.50E-03     0.13s       1.01h       1.33h   
      8.6396  0.18E-02  C  15 P0=0.48E-03     0.13s       1.01h       1.33h   
      8.6414  0.18E-02  C  15 P0=0.49E-03     0.13s       1.01h       1.33h   
      8.6432  0.18E-02  C  15 P0=0.48E-03     0.13s       1.01h       1.33h   
      8.6452  0.20E-02  C  15 P0=0.50E-03     0.13s       1.01h       1.33h   
      8.6469  0.18E-02  C  15 P0=0.48E-03     0.27s       1.01h       1.33h   
      8.6487  0.18E-02  C  15 P0=0.50E-03     0.13s       1.01h       1.33h   
      8.6505  0.18E-02  C  15 P0=0.48E-03     0.13s       1.01h       1.33h   
      8.6524  0.18E-02  C  15 P0=0.48E-03     0.13s       1.01h       1.33h   
      8.6542  0.18E-02  C  15 P0=0.49E-03     0.13s       1.01h       1.33h   
      8.6562  0.20E-02  C  15 P0=0.50E-03     0.13s       1.01h       1.33h   
      8.6578  0.18E-02  C  15 P0=0.49E-03     0.27s       1.01h       1.33h   
      8.6597  0.18E-02  C  15 P0=0.50E-03     0.13s       1.01h       1.33h   
      8.6615  0.18E-02  C  15 P0=0.50E-03     0.13s       1.01h       1.33h   
      8.6633  0.18E-02  C  15 P0=0.51E-03     0.14s       1.01h       1.33h   
      8.6651  0.18E-02  C  15 P0=0.53E-03     0.15s       1.01h       1.33h   
      8.6672  0.20E-02  C  16 P0=0.37E-03     0.14s       1.01h       1.32h   
      8.6688  0.18E-02  C  16 P0=0.41E-03     0.24s       1.01h       1.32h   
      8.6706  0.18E-02  C  17 P0=0.47E-03     0.15s       1.01h       1.32h   
      8.6717  0.11E-02  C  15 P0=0.41E-03     0.64s       1.01h       1.32h   
      8.6728  0.11E-02  C  14 P0=0.57E-03     0.12s       1.01h       1.32h   
      8.6739  0.11E-02  C  14 P0=0.59E-03     0.12s       1.01h       1.32h   
      8.6749  0.11E-02  C  14 P0=0.58E-03     0.12s       1.01h       1.32h   
      8.6760  0.11E-02  C  14 P0=0.57E-03     0.12s       1.01h       1.32h   
      8.6772  0.12E-02  C  14 P0=0.57E-03     0.12s       1.01h       1.32h   
      8.6783  0.12E-02  C  15 P0=0.37E-03     0.13s       1.01h       1.32h   
      8.6795  0.12E-02  C  15 P0=0.36E-03     0.13s       1.01h       1.32h   
      8.6807  0.12E-02  C  15 P0=0.37E-03     0.13s       1.01h       1.32h   
      8.6819  0.12E-02  C  15 P0=0.36E-03     0.12s       1.01h       1.32h   
      8.6831  0.12E-02  C  15 P0=0.38E-03     0.13s       1.01h       1.32h   
      8.6844  0.13E-02  C  15 P0=0.37E-03     0.12s       1.01h       1.32h   
      8.6856  0.13E-02  C  15 P0=0.40E-03     0.13s       1.01h       1.32h   
      8.6870  0.13E-02  C  15 P0=0.42E-03     0.13s       1.01h       1.32h   
      8.6883  0.13E-02  C  15 P0=0.40E-03     0.13s       1.01h       1.32h   
      8.6896  0.13E-02  C  15 P0=0.41E-03     0.13s       1.01h       1.32h   
      8.6910  0.13E-02  C  15 P0=0.40E-03     0.13s       1.01h       1.32h   
      8.6924  0.15E-02  C  15 P0=0.42E-03     0.13s       1.01h       1.32h   
      8.6938  0.15E-02  C  15 P0=0.43E-03     0.14s       1.01h       1.32h   
      8.6953  0.15E-02  C  15 P0=0.45E-03     0.13s       1.01h       1.32h   
      8.6967  0.15E-02  C  15 P0=0.42E-03     0.13s       1.01h       1.32h   
      8.6982  0.15E-02  C  15 P0=0.45E-03     0.13s       1.01h       1.32h   
      8.6997  0.15E-02  C  15 P0=0.44E-03     0.13s       1.01h       1.32h   
      8.7013  0.16E-02  C  15 P0=0.43E-03     0.13s       1.01h       1.32h   
      8.7028  0.16E-02  C  16 P0=0.49E-03     0.14s       1.01h       1.32h   
      8.7045  0.16E-02  C  16 P0=0.53E-03     0.14s       1.01h       1.32h   
      8.7058  0.13E-02  C  15 P0=0.42E-03     0.19s       1.01h       1.32h   
      8.7071  0.13E-02  C  16 P0=0.39E-03     0.13s       1.01h       1.32h   
      8.7085  0.13E-02  C  15 P0=0.41E-03     0.13s       1.01h       1.32h   
      8.7098  0.13E-02  C  15 P0=0.42E-03     0.13s       1.01h       1.32h   
      8.7111  0.13E-02  C  15 P0=0.45E-03     0.13s       1.01h       1.31h   
      8.7126  0.15E-02  C  15 P0=0.44E-03     0.13s       1.01h       1.31h   
      8.7138  0.13E-02  C  15 P0=0.53E-03     0.26s       1.01h       1.31h   
      8.7151  0.13E-02  C  15 P0=0.50E-03     0.13s       1.01h       1.31h   
      8.7163  0.12E-02  C  15 P0=0.37E-03     0.23s       1.01h       1.31h   
      8.7174  0.11E-02  C  39 V1=0.55E-03     0.39s       1.01h       1.31h   
      8.7185  0.11E-02  C  14 P0=0.57E-03     0.12s       1.01h       1.31h   
      8.7196  0.11E-02  C  14 P0=0.58E-03     0.12s       1.01h       1.31h   
      8.7206  0.11E-02  C  14 P0=0.58E-03     0.12s       1.01h       1.31h   
      8.7217  0.11E-02  C  14 P0=0.58E-03     0.12s       1.01h       1.31h   
      8.7229  0.12E-02  C  14 P0=0.58E-03     0.12s       1.01h       1.31h   
      8.7240  0.12E-02  C  15 P0=0.38E-03     0.13s       1.01h       1.31h   
      8.7252  0.12E-02  C  15 P0=0.38E-03     0.13s       1.01h       1.31h   
      8.7264  0.12E-02  C  15 P0=0.38E-03     0.13s       1.01h       1.31h   
      8.7276  0.12E-02  C  15 P0=0.38E-03     0.13s       1.01h       1.31h   
      8.7288  0.12E-02  C  15 P0=0.38E-03     0.13s       1.01h       1.31h   
      8.7301  0.13E-02  C  15 P0=0.38E-03     0.13s       1.01h       1.31h   
      8.7313  0.13E-02  C  15 P0=0.43E-03     0.13s       1.01h       1.31h   
      8.7327  0.13E-02  C  15 P0=0.43E-03     0.13s       1.01h       1.31h   
      8.7340  0.13E-02  C  15 P0=0.42E-03     0.13s       1.02h       1.31h   
      8.7353  0.13E-02  C  15 P0=0.43E-03     0.13s       1.02h       1.31h   
      8.7367  0.13E-02  C  15 P0=0.42E-03     0.13s       1.02h       1.31h   
      8.7381  0.15E-02  C  15 P0=0.43E-03     0.14s       1.02h       1.31h   
      8.7393  0.13E-02  C  15 P0=0.44E-03     0.27s       1.02h       1.31h   
      8.7407  0.13E-02  C  15 P0=0.44E-03     0.13s       1.02h       1.31h   
      8.7420  0.13E-02  C  15 P0=0.45E-03     0.13s       1.02h       1.31h   
      8.7433  0.13E-02  C  15 P0=0.48E-03     0.15s       1.02h       1.31h   
      8.7447  0.13E-02  C  15 P0=0.46E-03     0.13s       1.02h       1.31h   
      8.7461  0.15E-02  C  15 P0=0.51E-03     0.13s       1.02h       1.31h   
      8.7473  0.13E-02  C  15 P0=0.49E-03     0.27s       1.02h       1.31h   
      8.7487  0.13E-02  C  16 P0=0.41E-03     0.15s       1.02h       1.31h   
      8.7500  0.13E-02  C  15 P0=0.52E-03     0.13s       1.02h       1.31h   
      8.7513  0.13E-02  C  17 P0=0.53E-03     0.14s       1.02h       1.31h   
      8.7527  0.13E-02  C  15 P0=0.55E-03     0.12s       1.02h       1.31h   
      8.7541  0.15E-02  C  18 P0=0.55E-03     0.16s       1.02h       1.31h   
      8.7553  0.13E-02  C  16 P0=0.53E-03     0.25s       1.02h       1.30h   
      8.7565  0.12E-02  C  15 P0=0.40E-03     0.30s       1.02h       1.30h   
      8.7577  0.12E-02  C  15 P0=0.40E-03     0.13s       1.02h       1.30h   
      8.7589  0.12E-02  C  15 P0=0.40E-03     0.13s       1.02h       1.30h   
      8.7601  0.12E-02  C  15 P0=0.40E-03     0.13s       1.02h       1.30h   
      8.7613  0.12E-02  C  15 P0=0.41E-03     0.13s       1.02h       1.30h   
